,GEO,Value
481,DEG03,938.6
482,DEG04,348.9
483,DEG05,754.7
484,DEG06,106.9
485,DEG07,120.2
486,DEG09,106.4
487,DEG0A,74.6
488,DEG0B,103.6
489,DEG0C,145.1
490,DEG0D,88.1
491,DEG0E,69.3
492,DEG0F,129.2
493,DEG0G,101.6
494,DEG0H,132.0
495,DEG0I,106.9
496,DEG0J,103.0
497,DEG0K,73.4
498,DEG0L,120.9
499,DEG0M,164.3
500,DEG0N,401.2
501,DEG0P,96.5
502,EE001,132.4
503,EE004,13.2
504,EE006,13.7
505,EE007,44.2
506,EE008,20.7
507,IE041,34.9
508,IE042,32.2
509,IE051,46.7
510,IE052,58.0
511,IE053,55.9
512,IE061,1401.4
513,IE062,98.3
514,IE063,44.5
515,IE011,43.2
516,IE012,44.7
517,IE013,32.4
518,IE021,1412.1
519,IE022,91.0
520,IE023,48.7
521,IE024,53.7
522,IE025,56.0
523,EL511,34.8
524,EL512,62.7
525,EL513,44.1
526,EL514,28.2
527,EL515,64.6
528,EL521,83.5
529,EL522,304.3
530,EL523,31.9
531,EL524,56.0
532,EL525,85.7
533,EL526,43.9
534,EL527,33.9
535,EL531,30.6
536,EL532,28.5
537,EL533,26.3
538,EL541,47.4
539,EL542,29.7
540,EL543,33.9
541,EL611,40.4
542,EL612,53.2
543,EL613,77.9
544,EL621,99.1
545,EL622,162.8
546,EL623,43.1
547,EL624,68.0
548,EL631,38.4
549,EL632,94.0
550,EL633,60.5
551,EL641,40.8
552,EL642,51.5
553,EL643,10.6
554,EL644,36.3
555,EL645,19.8
556,EL651,27.9
557,EL652,64.8
558,EL653,38.0
559,EL301,4548.0
560,EL302,7300.6
561,EL303,10945.4
562,EL304,7458.1
563,EL305,360.0
564,EL306,174.2
565,EL307,559.0
566,EL411,47.3
567,EL412,54.3
568,EL413,58.7
569,EL421,76.5
570,EL422,49.1
571,EL431,117.4
572,EL432,41.1
573,EL433,58.3
574,EL434,66.7
575,ES111,143.4
576,ES112,34.7
577,ES113,44.5
578,ES114,212.5
579,ES120,99.8
580,ES130,111.4
581,ES211,106.3
582,ES212,351.1
583,ES213,516.7
584,ES220,61.5
585,ES230,62.4
586,ES241,14.3
587,ES242,9.4
588,ES243,56.5
589,ES300,801.0
590,ES411,20.8
591,ES412,25.5
592,ES413,31.1
593,ES414,20.8
594,ES415,28.0
595,ES416,22.9
596,ES417,9.0
597,ES418,65.3
598,ES419,17.8
599,ES421,26.6
600,ES422,26.2
601,ES423,12.2
602,ES424,21.1
603,ES425,45.4
604,ES431,32.3
605,ES432,20.8
606,ES511,705.7
607,ES512,125.9
608,ES513,35.8
609,ES514,126.8
610,ES521,321.0
611,ES522,87.1
612,ES523,234.4
613,ES531,236.9
614,ES532,239.9
615,ES533,134.5
616,ES611,78.7
617,ES612,170.9
618,ES613,58.4
619,ES614,73.0
620,ES615,52.7
621,ES616,48.9
622,ES617,224.0
623,ES618,139.5
624,ES620,129.5
625,ES630,4457.0
626,ES640,6478.5
627,ES703,39.4
628,ES704,65.6
629,ES705,548.5
630,ES706,57.3
631,ES707,118.1
632,ES708,166.5
633,ES709,443.3
634,FR101,21490.0
635,FR102,235.7
636,FR103,626.7
637,FR104,702.9
638,FR105,9300.4
639,FR106,6702.7
640,FR107,5655.8
641,FR108,973.8
642,FRB01,42.6
643,FRB02,73.3
644,FRB03,33.0
645,FRB04,99.1
646,FRB05,52.4
647,FRB06,99.4
648,FRC11,60.7
649,FRC12,31.1
650,FRC13,65.0
651,FRC14,45.9
652,FRC21,102.3
653,FRC22,52.1
654,FRC23,44.4
655,FRC24,240.3
656,FRD11,123.7
657,FRD12,83.2
658,FRD13,46.8
659,FRD21,100.3
660,FRD22,200.9
661,FRE11,454.6
662,FRE12,220.4
663,FRE21,73.0
664,FRE22,140.0
665,FRE23,93.1
666,FRF11,234.5
667,FRF12,216.9
668,FRF21,53.4
669,FRF22,51.7
670,FRF23,70.3
671,FRF24,28.9
672,FRF31,139.9
673,FRF32,30.8
674,FRF33,169.2
675,FRF34,63.3
676,FRG01,198.6
677,FRG02,112.6
678,FRG03,59.1
679,FRG04,91.2
680,FRG05,98.4
681,FRH01,85.8
682,FRH02,134.3
683,FRH03,152.3
684,FRH04,108.4
685,FRI11,45.3
686,FRI12,155.4
687,FRI13,43.5
688,FRI14,62.3
689,FRI15,87.2
690,FRI21,41.2
691,FRI22,21.6
692,FRI23,68.0
693,FRI31,59.3
694,FRI32,92.6
695,FRI33,62.0
696,FRI34,61.9
697,FRJ11,58.6
698,FRJ12,127.3
699,FRJ13,183.4
700,FRJ14,14.8
701,FRJ15,114.7
702,FRJ21,31.1
703,FRJ22,31.9
704,FRJ23,209.7
705,FRJ24,30.3
706,FRJ25,33.4
707,FRJ26,50.8
708,FRJ27,67.0
709,FRJ28,68.6
710,FRK11,46.7
711,FRK12,25.5
712,FRK13,45.4
713,FRK14,80.8
714,FRK21,111.9
715,FRK22,58.4
716,FRK23,76.9
717,FRK24,159.7
718,FRK25,159.4
719,FRK26,561.3
720,FRK27,69.1
721,FRK28,172.5
722,FRL01,23.2
723,FRL02,24.8
724,FRL03,252.4
725,FRL04,423.3
726,FRL05,173.8
727,FRL06,156.4
728,FRM01,38.0
729,FRM02,37.2
730,FRY10,258.6
731,FRY20,347.0
732,FRY30,3.1
733,FRY40,341.7
734,FRY50,624.5
735,FR211,53.3
736,FR212,51.4
737,FR213,70.0
738,FR214,29.0
739,FR221,73.2
740,FR222,139.9
741,FR223,92.7
742,FR231,99.4
743,FR232,200.4
744,FR241,42.8
745,FR242,73.8
746,FR243,33.2
747,FR244,98.7
748,FR245,52.5
749,FR246,99.1
750,FR251,124.8
751,FR252,84.1
752,FR253,47.1
753,FR261,60.7
754,FR262,31.2
755,FR263,64.8
756,FR264,46.0
757,FR301,453.5
758,FR302,220.7
759,FR411,139.8
760,FR412,30.8
761,FR413,168.1
762,FR414,63.5
763,FR421,234.4
764,FR422,216.0
765,FR431,102.4
766,FR432,52.1
767,FR433,44.4
768,FR434,237.0
769,FR511,198.9
770,FR512,112.8
771,FR513,59.5
772,FR514,91.6
773,FR515,98.9
774,FR521,86.9
775,FR522,134.7
776,FR523,153.2
777,FR524,108.9
778,FR531,59.4
779,FR532,93.0
780,FR533,62.3
781,FR534,62.1
782,FR611,45.9
783,FR612,153.7
784,FR613,43.5
785,FR614,62.2
786,FR615,87.5
787,FR621,31.2
788,FR622,31.9
789,FR623,210.2
790,FR624,30.5
791,FR625,33.3
792,FR626,51.2
793,FR627,67.0
794,FR628,68.3
795,FR631,41.3
796,FR632,21.6
797,FR633,68.1
798,FR711,109.2
799,FR712,58.5
800,FR713,76.9
801,FR714,167.8
802,FR715,158.6
803,FR716,557.7
804,FR717,70.9
805,FR718,179.7
806,FR721,46.6
807,FR722,25.6
808,FR723,45.6
809,FR724,81.0
810,FR811,59.7
811,FR812,125.9
812,FR813,182.6
813,FR814,14.8
814,FR815,113.9
815,FR821,23.3
816,FR822,25.3
817,FR823,251.9
818,FR824,395.4
819,FR825,174.7
820,FR826,155.9
821,FR831,37.9
822,FR832,37.2
823,FRA10,327.0
824,FRA20,339.0
825,FRA30,3.1
826,FRA40,338.2
827,FRA50,
828,HR031,81.9
829,HR032,9.1
830,HR033,47.0
831,HR034,35.3
832,HR035,100.1
833,HR036,74.0
834,HR037,68.7
835,HR041,1245.6
836,HR042,104.0
837,HR043,105.8
838,HR044,137.4
839,HR045,65.0
840,HR046,155.1
841,HR047,43.7
842,HR048,40.5
843,HR049,41.1
844,HR04A,75.8
845,HR04B,71.8
846,HR04C,70.5
847,HR04D,34.2
848,HR04E,36.7
849,ITC11,341.1
850,ITC12,86.7
851,ITC13,202.8
852,ITC14,75.5
853,ITC15,289.1
854,ITC16,86.9
855,ITC17,146.6
856,ITC18,124.9
857,ITC20,39.7
858,ITC31,190.2
859,ITC32,186.3
860,ITC33,478.5
861,ITC34,257.9
862,ITC41,798.8
863,ITC42,504.5
864,ITC43,456.5
865,ITC44,57.7
866,ITC46,417.9
867,ITC47,282.1
868,ITC48,192.2
869,ITC49,309.1
870,ITC4A,213.1
871,ITC4B,186.4
872,ITC4C,2021.9
873,ITC4D,2132.4
874,ITH10,70.2
875,ITH20,87.4
876,ITH31,318.7
877,ITH32,324.1
878,ITH33,58.1
879,ITH34,368.1
880,ITH35,393.9
881,ITH36,445.9
882,ITH37,142.4
883,ITH41,145.2
884,ITH42,113.6
885,ITH43,310.5
886,ITH44,1117.9
887,ITH51,115.4
888,ITH52,133.5
889,ITH53,238.4
890,ITH54,267.9
891,ITH55,275.6
892,ITH56,138.9
893,ITH57,218.7
894,ITH58,169.6
895,ITH59,387.0
896,ITI11,177.5
897,ITI12,227.8
898,ITI13,306.9
899,ITI14,290.6
900,ITI15,701.2
901,ITI16,282.9
902,ITI17,175.7
903,ITI18,108.2
904,ITI19,71.5
905,ITI1A,50.8
906,ITI21,108.0
907,ITI22,110.3
908,ITI31,141.7
909,ITI32,250.8
910,ITI33,116.7
911,ITI34,172.2
912,ITI35,204.4
913,ITI41,93.3
914,ITI42,58.6
915,ITI43,819.6
916,ITI44,256.9
917,ITI45,154.7
918,ITF11,61.1
919,ITF12,162.1
920,ITF13,276.4
921,ITF14,154.7
922,ITF21,57.8
923,ITF22,79.2
924,ITF31,354.7
925,ITF32,139.2
926,ITF33,2687.4
927,ITF34,155.7
928,ITF35,229.0
929,ITF43,243.8
930,ITF44,218.4
931,ITF45,292.6
932,ITF46,90.6
933,ITF47,327.3
934,ITF48,255.4
935,ITF51,59.0
936,ITF52,60.3
937,ITF61,110.8
938,ITF62,102.8
939,ITF63,155.1
940,ITF64,144.7
941,ITF65,180.3
942,ITG11,178.4
943,ITG12,257.9
944,ITG13,204.4
945,ITG14,148.7
946,ITG15,130.3
947,ITG16,68.0
948,ITG17,318.1
949,ITG18,198.4
950,ITG19,193.8
951,ITG25,78.2
952,ITG26,40.5
953,ITG27,123.3
954,ITG28,54.0
955,ITG29,47.1
956,ITG2A,31.3
957,ITG2B,66.6
958,ITG2C,86.1
959,CY000,92.5
960,LV003,19.5
961,LV005,20.5
962,LV006,2599.9
963,LV007,37.6
964,LV008,13.6
965,LV009,23.4
966,LT011,85.5
967,LT021,28.7
968,LT022,74.8
969,LT023,70.2
970,LT024,35.0
971,LT025,30.9
972,LT026,34.0
973,LT027,24.2
974,LT028,34.2
975,LT029,21.2
976,LT001,28.7
977,LT002,74.8
978,LT003,70.2
979,LT004,35.0
980,LT005,30.9
981,LT006,34.0
982,LT007,24.2
983,LT008,34.2
984,LT009,21.2
985,LT00A,85.5
986,LU000,215.1
987,HU110,3433.6
988,HU120,194.8
989,HU101,3335.5
990,HU102,191.4
991,HU211,97.5
992,HU212,135.3
993,HU213,83.2
994,HU221,108.8
995,HU222,76.3
996,HU223,75.1
997,HU231,85.0
998,HU232,54.7
999,HU233,62.4
1000,HU311,93.4
1001,HU312,84.8
1002,HU313,77.6
1003,HU321,88.3
1004,HU322,69.9
1005,HU323,96.0
1006,HU331,61.7
1007,HU332,63.4
1008,HU333,97.2
1009,MT001,1631.4
1010,MT002,457.9
1011,NL111,180.6
1012,NL112,178.2
1013,NL113,314.1
1014,NL121,205.9
1015,NL122,176.4
1016,NL123,187.3
1017,NL124,208.6
1018,NL125,168.1
1019,NL126,191.2
1020,NL131,182.0
1021,NL132,186.7
1022,NL133,189.8
1023,NL211,255.3
1024,NL212,367.3
1025,NL213,420.8
1026,NL221,364.3
1027,NL224,153.6
1028,NL225,445.6
1029,NL226,1038.3
1030,NL230,283.9
1031,NL310,913.4
1032,NL321,343.4
1033,NL322,868.9
1034,NL323,669.1
1035,NL324,1416.6
1036,NL325,1292.8
1037,NL326,1836.1
1038,NL327,2194.7
1039,NL328,341.9
1040,NL329,6647.7
1041,NL332,3310.0
1042,NL333,1476.1
1043,NL337,1500.4
1044,NL338,702.0
1045,NL339,1145.9
1046,NL33A,859.7
1047,NL33B,649.9
1048,NL33C,1184.6
1049,NL341,144.7
1050,NL342,261.5
1051,NL411,511.5
1052,NL412,519.5
1053,NL413,476.8
1054,NL414,521.9
1055,NL421,337.2
1056,NL422,353.9
1057,NL423,927.8
1058,AT111,54.1
1059,AT112,100.3
1060,AT113,67.1
1061,AT121,73.3
1062,AT122,76.0
1063,AT123,123.4
1064,AT124,47.9
1065,AT125,51.6
1066,AT126,118.3
1067,AT127,227.0
1068,AT130,4511.5
1069,AT211,143.2
1070,AT212,30.9
1071,AT213,45.2
1072,AT221,343.6
1073,AT222,24.5
1074,AT223,50.2
1075,AT224,79.8
1076,AT225,87.0
1077,AT226,33.4
1078,AT311,99.9
1079,AT312,331.6
1080,AT313,77.9
1081,AT314,68.9
1082,AT315,97.0
1083,AT321,20.3
1084,AT322,37.7
1085,AT323,208.8
1086,AT331,26.1
1087,AT332,142.7
1088,AT333,24.4
1089,AT334,30.8
1090,AT335,62.9
1091,AT341,47.6
1092,AT342,424.5
1093,PL113,2421.4
1094,PL114,174.1
1095,PL115,99.6
1096,PL116,79.7
1097,PL117,89.9
1098,PL127,3450.9
1099,PL128,108.0
1100,PL129,159.5
1101,PL12A,186.1
1102,PL12B,65.7
1103,PL12C,101.1
1104,PL12D,59.6
1105,PL12E,65.8
1106,PL213,2357.1
1107,PL214,174.8
1108,PL217,175.8
1109,PL218,150.8
1110,PL219,127.5
1111,PL21A,276.2
1112,PL224,171.3
1113,PL225,285.1
1114,PL227,472.9
1115,PL228,280.1
1116,PL229,543.8
1117,PL22A,1980.8
1118,PL22B,388.7
1119,PL22C,432.9
1120,PL311,51.4
1121,PL312,68.4
1122,PL314,169.3
1123,PL315,86.9
1124,PL323,87.0
1125,PL324,91.6
1126,PL325,175.1
1127,PL326,136.6
1128,PL331,153.3
1129,PL332,73.1
1130,PL343,98.8
1131,PL344,44.9
1132,PL345,44.2
1133,PL411,64.0
1134,PL414,104.1
1135,PL415,2118.6
1136,PL416,115.8
1137,PL417,93.0
1138,PL418,127.0
