GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BG343,167649,166415,152954,150196,147490,145058,142626,140244,137955,135833,133775,131552,130056,128650,127176,125724,123821,122276,120470
BG344,385195,382977,366141,362041,357925,354129,350330,346625,343039,339817,336742,333496,331135,329832,328104,325963,323685,321377,319067
BG4,3826244,3820954,3699428,3690083,3680894,3671470,3660706,3649934,3639314,3630374,3623520,3614156,3602340,3591131,3581237,3571048,3557401,3541408,3525826
BG41,2142700,2143110,2107264,2113323,2118410,2122105,2124449,2126182,2127498,2129855,2132634,2133731,2131233,2128783,2127618,2125212,2121185,2115344,2108394
BG411,1211531,1222180,1190675,1207281,1221916,1234271,1245295,1255122,1264405,1273869,1283266,1291795,1296615,1302316,1309634,1316557,1319804,1323637,1325429
BG412,262151,256270,269875,266547,263622,260936,258283,255954,253486,251462,249668,247625,245616,243254,240877,238061,237080,234185,231563
BG413,345138,343918,339178,336983,334994,333295,331392,329699,328070,326745,325417,323728,322025,320160,318110,315577,312831,310321,307882
BG414,153321,151769,147964,145969,144124,142347,140789,139201,137728,136272,135055,133696,131987,130240,128696,127048,125456,123770,122421
BG415,170559,168973,159572,156543,153754,151256,148690,146206,143809,141507,139228,136887,134990,132813,130301,127969,126014,123431,121099
BG42,1683544,1677844,1592164,1576760,1562484,1549365,1536257,1523752,1511816,1500519,1490886,1480425,1471107,1462348,1453619,1445836,1436216,1426064,1417432
BG421,729447,728246,711933,707748,703830,700627,697194,693734,690683,687879,685860,683298,680884,678860,678197,675586,673283,671573,669796
BG422,291770,289829,273252,269289,266122,262903,259764,256852,254012,251319,248944,246534,243955,241676,239312,237664,236383,233415,231276
BG423,315225,313851,306506,302647,298770,295132,291607,288142,284786,281642,278765,275768,273803,271721,269287,266549,263630,260814,257965
BG424,145940,144558,137703,135776,133809,131907,130034,128362,126657,124988,123446,121887,120456,118751,116218,113984,111601,109425,107282
BG425,201162,201360,162770,161300,159953,158796,157658,156662,155678,154691,153871,152938,152009,151340,150605,152053,151319,150837,151113
